Segment,Restaurant Name,Phone,Website,Cuisine,Rating,Reviews,Price Level,Address,Value Proposition
"High-Value Targets","Aladdin Mediterranean cuisine","(713) 942-2321","https://aladdinshouston.com/","Restaurant",4.6,2844,"MODERATE","912 Westheimer Rd","Get discovered by 10,000+ monthly diners searching "restaurants near me in Katy". Your high ratings deserve more visibility - claim your free listing and get featured for just $99/month."
"High-Value Targets","Nikko Dermatology - Katy","(713) 960-1311","https://drnikko.com/locations/katy-dermatology/?utm_source=google&utm_medium=organic&utm_campaign=gmb-katydermatology","Doctor,Health",5,64,"MODERATE","20303 Kingsland Blvd","Get discovered by 10,000+ monthly diners searching "restaurants near me in Katy". Your high ratings deserve more visibility - claim your free listing and get featured for just $99/month."
"High-Value Targets","CAVA","(346) 456-4564","http://cava.com/","Restaurant",4.4,580,"MODERATE","2643 Commercial Center Blvd Suite C300","Get discovered by 10,000+ monthly diners searching "restaurants near me in Katy". Your high ratings deserve more visibility - claim your free listing and get featured for just $99/month."
"High-Value Targets","Shawarma Del Valle","(832) 939-0175","https://shawarmadelvalle.com/","Restaurant",4.8,114,"BUDGET","1117 S Mason Rd","Get discovered by 10,000+ monthly diners searching "restaurants near me in Katy". Your high ratings deserve more visibility - claim your free listing and get featured for just $99/month."
"High-Value Targets","Wow Wow Lemonade Katy","(832) 437-6542","https://wowwowhawaiianlemonade.com/location/katy-mills/","Restaurant",4.4,94,"MODERATE","25220 Kingsland Blvd Suite 300","Get discovered by 10,000+ monthly diners searching "restaurants near me in Katy". Your high ratings deserve more visibility - claim your free listing and get featured for just $99/month."
"High-Value Targets","Newk's Eatery","(832) 917-0500","https://locations.newks.com/tx/houston/9448-katy-freeway/","Meal Takeaway",4.4,815,"MODERATE","9448 Katy Fwy","Get discovered by 10,000+ monthly diners searching "restaurants near me in Katy". Your high ratings deserve more visibility - claim your free listing and get featured for just $99/month."
"High-Value Targets","Times Square Entertainment","(281) 395-8555","http://www.timessquaretx.com/","Bar,Bowling Alley",4.3,1829,"MODERATE","402 W Grand Pkwy S #110","Get discovered by 10,000+ monthly diners searching "restaurants near me in Katy". Your high ratings deserve more visibility - claim your free listing and get featured for just $99/month."
"High-Value Targets","BJ's Restaurant & Brewhouse","(281) 769-1850","https://www.bjsrestaurants.com/locations/tx/katy?utm_source=google&utm_medium=organic&utm_campaign=google_my_business","Bar",4.1,2960,"MODERATE","20536 Katy Fwy","Get discovered by 10,000+ monthly diners searching "restaurants near me in Katy". Your high ratings deserve more visibility - claim your free listing and get featured for just $99/month."
"High-Value Targets","The Cheesecake Factory","(281) 845-9317","https://locations.thecheesecakefactory.com/tx/katy-221.html?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places","Bakery,Meal Takeaway,Store",4.2,1525,"MODERATE","5000 Katy Mills Cir Suite 325","Get discovered by 10,000+ monthly diners searching "restaurants near me in Katy". Your high ratings deserve more visibility - claim your free listing and get featured for just $99/month."
"High-Value Targets","Harlem Road Texas BBQ","(832) 278-2101","http://www.harlemroadtexasbbq.com/","BBQ, Texas BBQ, Barbecue",4.4,660,"MODERATE","9823 Harlem Rd","Get discovered by 10,000+ monthly diners searching "restaurants near me in Katy". Your high ratings deserve more visibility - claim your free listing and get featured for just $99/month."
"Family-Friendly Upsell","Pizza Fino","(281) 391-1177","https://www.pizzafinooldkatytown.com/?utm_source=gbp","Pizza",4.2,257,"BUDGET","2020 Katy Hockley Cut Off Rd Ste A","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Subway","(281) 533-9640","https://restaurants.subway.com/united-states/tx/fulshear/8508-fm-359-s?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=39046&utm_campaign=evergreen-2020&y_source=1_MTQ5MDY1NjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","American",3.4,108,"BUDGET","8508 FM359","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","La Guarecita Restaurant","(281) 391-8226","https://laguarecitarestaurant.com/","American",4.4,524,"BUDGET","5304 E 5th St","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Wendy's","(281) 665-2574","https://locations.wendys.com/united-states/tx/katy/5929-fm-1463?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US","American",3.8,632,"BUDGET","5929 FM 1463 Suite 100","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Tequilas","(281) 665-8488","http://www.tequilasmexicangrill.net/","American",4.3,436,"BUDGET","25824 Clay Rd Suite A","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Mena Plaza","(281) 204-3963","","American",,,"MODERATE","25820 Clay Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Tito’s Tacos","(281) 723-9075","https://www.titostacoskatytx.com/","American",4.9,14,"MODERATE","3718 Pitts Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","TAQUERIA EL SABOR DE MAMA","","","American",,,"MODERATE","3538 Pitts Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Big N's BBQ and Crawfish","(832) 290-8354","https://www.facebook.com/BigNsBBQandCrawfish/","BBQ",4.4,320,"MODERATE","4034 Katy Hockley Cut Off Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Taco Express","(832) 887-0943","","American",4.8,13,"MODERATE","2855 Katy Hockley Cut Off Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","El Norteño Pollos Asados Estilo Monterrey (Charcoal cooked chicken, Mexican food)","(832) 875-2018","","Mexican",4,80,"MODERATE","2855 Katy Hockley Cut Off Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Taqueria “Rafita”","(281) 777-8564","http://ordertaqueriarafita.com/","American",3.5,27,"MODERATE","2855 Katy Hockley Cut Off Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","La Pantera Rosa","(832) 526-5265","","American",4.8,5,"MODERATE","2855 Katy Hockley Cut Off Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Douala","(346) 758-9577","https://doualaeats.com/","American",4,3,"MODERATE","25250 Laird Knoll St","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Island Twist 473","(929) 247-6865","","American",,,"MODERATE","28047 Stockdick School Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","The pizza shoppe","(281) 574-8899","http://thepizzashoppekaty.com/","Pizza",4.4,84,"MODERATE","5815 Franz Rd C","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Doña Tere Meat Market","(281) 392-3644","","American",4,72,"MODERATE","5701 Franz Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Taco Chile","(346) 390-1683","","American",4.4,40,"MODERATE","24001 Clay Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Sonic Drive-In","(346) 712-0175","https://www.sonicdrivein.com/locations/us/tx/brookshire/","American",4.2,129,"BUDGET","30575 Kingsland Blvd Suite 100","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Texas Borders Bar & Grill at Cane Island","(346) 387-9954","https://www.texasbordersbarandgrill.com/?fbclid=IwZnRzaAMqwmFleHRuA2FlbQIxMQABHjop8LrFhWSatttr5IdHqbzu9rCE7Ajb4Q0mT9GIYqIgxehrNGseRqNUJHUO_aem_dUfbXCxaA_c3Qv1qq87wAw","American",4.4,16,"MODERATE","2100 Cane Island Pkwy C","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Lota Drinks","(713) 319-7476","https://msha.ke/lotadrinks","American",5,33,"MODERATE","3051 Bugatti Dr","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Marco's Pizza","(346) 413-8400","https://www.marcos.com/our-locations/restaurants/TX/Brookshire/marcos-pizza-kingsland-boulevard-brookshire-1","Pizza",4.1,131,"BUDGET","30543 Kingsland Blvd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Tacos El Grande #2","(346) 264-3519","https://tacoselgrandetx.com/","American",3.4,74,"BUDGET","25010 Franz Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Daddy Duncan's BBQ","(713) 898-9910","https://www.daddyduncansbbq.com/","BBQ",4.7,77,"MODERATE","3550 Schlipf Rd #3","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Old Town Bistro","(281) 237-7580","https://www.katyisd.org/domain/5688","American",4.3,6,"MODERATE","1734 Katyland Dr","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Sabaneros Ranch","(346) 558-9564","https://sabanerosranch.247hrs.net/","American",4.3,198,"MODERATE","4525 Schlipf Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Please and Thank You Home Cooking","(832) 437-0579","","American",3.5,2,"MODERATE","5806 4th St","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Buchi's Pot","(747) 279-9392","","American",,,"MODERATE","3050 Upland Spring Trace","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","apricotecommcerce","(346) 770-9886","","American",,,"MODERATE","1727 Sonny Path Dr","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Onyi's Suya","(346) 475-8935","http://onyisuya.com/","American",,,"MODERATE","5403 E 5th St","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Dozier's BBQ & Meat Market","(281) 346-8194","http://www.doziersbbqtx.com/","BBQ",4.3,552,"MODERATE","8222 FM359","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Victor's Mexican Grille","(281) 533-0040","https://victorsmexicanrestaurant.com/?y_source=1_MTAwNzQxMjAwNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","Mexican",4,646,"MODERATE","8525 FM359","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Juju’s Culture Kitchen","(786) 277-9153","","American",,,"MODERATE","4319 Whitefish Ln","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Diana’s Kitchen and Catering","(832) 588-0704","https://www.tiktok.com/@dianas.kitchen0?_t=ZT-8vxDQyYc8Es&_r=1","American",5,9,"MODERATE","5440 FM359","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Pizza Hut","(346) 517-3326","https://locations.pizzahut.com/tx/brookshire/5430-fm-359-s-rd?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=website&utm_term=315015","Pizza",4.1,74,"BUDGET","5430 FM359 Rd #100","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Market at Jordan Ranch","(713) 599-3500","https://www.regencycenters.com/property/detail/60843/jordan-ranch","American",4.3,8,"MODERATE","Jordan Crossing Blvd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","McDonald's (To Go only)","(281) 984-2073","https://www.mcdonalds.com/us/en-us/location/tx/brookshire/29910-jordan-crossing-blvd/43232.html","American",1.8,8,"MODERATE","29910 Jordan Crossing Blvd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Hanamirolls","(786) 202-6235","","American",,,"MODERATE","3919 Windy Whisper Dr","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Farmer's Fridge","(312) 229-0404","http://www.farmersfridge.com/","American",,,"MODERATE","Located in the employee breakroom beside the Canteen micro-market","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Domino's Pizza","(281) 533-4080","https://www.dominos.com/en/?redirect=homepage&utm_source=google&utm_medium=loclist&utm_campaign=localmaps_menutest","Pizza",3.2,202,"BUDGET","8411 FM359 Ste A","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Papa Johns Pizza","(281) 346-4101","https://locations.papajohns.com/united-states/tx/77441/fulshear/8525-fm-359?utm_source=yext-listings&utm_medium=referral&y_source=1_MTA4ODE2NTc2OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","Pizza",2.3,15,"MODERATE","8525 FM359 Suite 102","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Lupe’s Mexican Cafe","","https://www.lupesmexicancafe.com/","Mexican",4.2,45,"MODERATE","28840 FM 1093","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Ilyas world famous tikki masala","","","American",,,"MODERATE","Flagman Trl","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Grill","","","American",5,1,"MODERATE","1013 Pitch Pne Ct","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Chick N Max","","https://www.chicknmax.com/","American",,,"MODERATE","27117 Fulshear Bend Dr","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Playa Bowls","(832) 451-6142","https://playabowls.com/location/fulshear-tx","American",5,49,"MODERATE","28432 FM 1093 Suite C","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Chronic Fries - Fulshear, TX","(346) 517-1234","https://www.chronicfries.fun/","American",4.5,11,"BUDGET","27120 Fulshear Bend Dr Suite 400","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Green Bawarchi","(832) 437-6358","https://greenbawarchikaty.com/","American",4.3,283,"MODERATE","4020 FM 1463","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","ESN Healthy Kitchen","(281) 395-0827","https://www.esnhealthykitchen.com/","American",5,8,"MODERATE","2770 FM 1463 suite 102","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Five Guys","(346) 338-9403","https://restaurants.fiveguys.com/27123-fulshear-bend-drive","American",3.8,64,"MODERATE","27123 Fulshear Bend Dr Suite 100","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Rainforest Cafe","(281) 644-6200","https://www.rainforestcafe.com/location/rainforest-cafe-katy-mills-tx/","American",4.2,4329,"MODERATE","5000 Katy Mills Cir","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Main Event Katy","(281) 394-4800","http://www.mainevent.com/locations/texas/katy","American",4.3,5670,"MODERATE","24401 Katy Fwy","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Midway BBQ","(281) 391-2830","https://midwaybbqkatytx.com/","BBQ",4.3,1790,"MODERATE","6025 Hwy Blvd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Chuck E. Cheese","(281) 644-4949","https://www.chuckecheese.com/katy-tx","American",4.2,1653,"MODERATE","2002 Gulfmont Dr","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","T Jin China Diner","(281) 574-8999","https://tjinkatymill.kwickmenu.com/index.php","American",4,334,"BUDGET","25681 Nelson Way","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","la Madeleine","(281) 395-2888","https://lamadeleine.com/locations/katy-west-grand","American",4.2,1733,"MODERATE","23322 Mercantile Pkwy","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Great Wraps","(281) 644-4821","http://www.greatwraps.com/","American",2.8,62,"BUDGET","5000 Katy Mills Cir Suite 904","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Los Altos De Jalisco","(281) 693-3917","http://losaltosdejaliscotx.com/","American",4,624,"BUDGET","5717 Hwy Blvd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Wingstop","(281) 392-1700","https://www.wingstop.com/location/wingstop-255-katy-tx-77450/menu?y_source=1_NTUyMDc0MzctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","American",3.7,469,"MODERATE","1830 S Mason Rd Ste 140","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Charleys Cheesesteaks","(281) 574-2627","https://order.charleys.com/menu/katy-mills-mall/","American",4.1,358,"BUDGET","5000 Katy Mills Cir Space FC-5","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","IHOP","(281) 398-8667","https://restaurants.ihop.com/en-us/tx/houston/breakfast-19989-katy-frwy-1442?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=1442&utm_content=website","American",4.1,2372,"BUDGET","19989 Katy Fwy","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Jimmy John's","(281) 578-8444","https://locations.jimmyjohns.com/tx/houston/sandwiches-1490.html?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link","American",3.7,185,"BUDGET","1270 Fry Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Chipotle Mexican Grill","(281) 646-8588","https://locations.chipotle.com/tx/houston/1260-fry-rd?utm_source=google&utm_medium=yext&utm_campaign=yext_listings","Mexican",3.8,1352,"BUDGET","1260 Fry Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Bonchon Katy","(281) 394-9188","https://restaurants.bonchon.com/locations/tx/katy/24437-katy-freeway-suite-100","American",4,1926,"MODERATE","24437 Katy Fwy #100","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Atria Cinco Ranch","(281) 395-9600","https://atriaseniorliving.com/retirement-communities/atria-cinco-ranch-katy-tx/?utm_source=GMB&utm_medium=Chatmeter","American",4.6,92,"MODERATE","24001 Cinco Village Center Blvd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Raising Cane's Chicken Fingers","(281) 574-3779","https://locations.raisingcanes.com/tx/katy/9730-gaston-rd.","American",4.4,1055,"BUDGET","9730 Gaston Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Little Caesars Pizza","(281) 392-3433","https://littlecaesars.com/en-us/store/10682","Pizza",3,592,"BUDGET","10705 Spring Green Blvd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","El Kourmet","(346) 257-4980","http://www.elkourmet.com/","American",4.4,1066,"BUDGET","25757 Westheimer Pkwy #100","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Pepperoni's Pizza - Firethorne","(281) 392-3900","http://www.pepperonis.net/","Pizza",4.4,172,"BUDGET","2731 FM 1463 #900","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Center Court Pizza & Brew Cinco Ranch","(281) 665-3997","http://www.centercourtpizzacincoranch.com/","Pizza",4.4,479,"MODERATE","9550 Spring Green Blvd Suite 400","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Taco Bell","(346) 615-8780","https://locations.tacobell.com/tx/katy/3130-fm-1463.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=042038&utm_content=website&y_source=1_MjAyOTczNzIzNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ==","American",5,2,"MODERATE","3130 FM 1463","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Southpark at Cinco Ranch","(713) 599-3500","https://www.regencycenters.com/property/detail/60603/Southpark-at-Cinco-Ranch","American",4.4,1671,"MODERATE","9550 Spring Green Blvd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Ling’s Restaurant","(281) 347-1001","https://www.lingsrestauranttx.com/","American",3.8,172,"BUDGET","8945 S Fry Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Texas Borders Bar and Grill","(281) 578-8785","https://www.texasbordersbarandgrill.com/","American",4.4,926,"MODERATE","1251 Pin Oak Rd #141","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Cheddar's Scratch Kitchen","(281) 578-0593","https://www.cheddars.com/locations/tx/katy/katy/2039?cmpid=br:csk_ag:ie_ch:loc_ca:CSKGMB_sn:gmb_gt:katy-tx-2039_pl:locurl_rd:1033","American",4,4056,"MODERATE","21150 Katy Fwy","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Hasta La Pasta","(281) 392-0045","http://www.hastalapasta.com/","American",4.2,759,"MODERATE","1450 Grand Pkwy e","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","The Golf Club at Cinco Ranch","(281) 395-4653","https://www.golfclubatcincoranch.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile","American",4,497,"MODERATE","23030 Cinco Ranch Blvd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Luby's","(281) 492-2016","https://www.lubys.com/houston-katy-south-mason","American",4.2,2379,"MODERATE","485 S Mason Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Las Mañanitas Mexican Restaurant","(281) 492-7463","https://lasmananitasmexicanrestaurant.com/","Mexican",4.4,1040,"MODERATE","803 S Mason Rd #400","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Lupe Tortilla Mexican Restaurant","(281) 392-2322","https://originallupetortilla.com/","Mexican",4.2,3270,"MODERATE","703 W Grand Pkwy S","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","El Jarrito","(281) 579-8844","http://www.eljarrito.com/","American",4.4,1825,"MODERATE","21724 Highland Knolls Dr","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Pollo Bravo","(281) 392-0030","","American",3.8,164,"BUDGET","890 S Mason Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","China Cottage","(281) 492-7832","http://www.chinacottage637.com/","American",4.1,387,"BUDGET","637 S Mason Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Fuzzy's Pizza Katy","(281) 579-0100","http://fuzzys.pizza/","Pizza",4.1,947,"MODERATE","613 S Mason Rd","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Sicily Pizza & Pasta","(281) 398-6400","https://fryrd.sicilypizza.com/","Pizza",4.1,705,"MODERATE","2211 N Fry Rd Suite H","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","Tacos Y Tortas Adrian","(281) 578-0086","http://tacosadrian.com/","American",4.2,2102,"BUDGET","1603 N Westgreen Blvd #110","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
"Family-Friendly Upsell","The Waterside Grill Company","(281) 346-1967","","American",4.6,13,"MODERATE","32611 FM 1093","Your kids deals are live! Upgrade to Premium for $199/month to get featured placement, priority search results, and 3x more clicks. Limited spots available."
